"","SiteWs","Site","WS","Date","Ca_fwmc_mgL","DOC_fwmc_mgL","NH4_fwmc_mgL","NO3_fwmc_mgL","SO4_fwmc_mgL","TDP_fwmc_mgL"
"1126","DOR_HP4","DOR","HP4",2004-05-01,2.09457061116521,6.26832308321208,0.00522080480389454,0.0393407057974721,0.00537060776961421,0.00995180962144438
"1127","DOR_HP4","DOR","HP4",2004-06-01,2.64589917618742,6.47622955756626,0.00262341191189506,0.0785602196741206,0.00508257250894877,0.00944532809807554
"1128","DOR_HP4","DOR","HP4",2004-07-01,2.92036528609215,6.838124254354,0.00454905105736661,0.0874807759131766,0.00420136379776369,0.0119814805938658
"1129","DOR_HP4","DOR","HP4",2004-08-01,3.28870285541814,6.35581930930361,0.104039713411209,0.00435218940795299,0.00460942100331712,0.0108790610873996
"1130","DOR_HP4","DOR","HP4",2004-09-01,3.5647037516984,7.70242716209598,0.0110536003316261,0.0567226121234948,0.00432306406194108,0.00922750896556475
"1131","DOR_HP4","DOR","HP4",2004-10-01,3.72822573754989,9.80940573124547,0.002,0.00435485249002174,0.00695658401187183,0.00707097049800435
"1132","DOR_HP4","DOR","HP4",2004-11-01,3.37377066315246,6.41110441661833,0.00250468788396938,0.018333086671014,0.00748204763480452,0.00814434984831792
"1133","DOR_HP4","DOR","HP4",2004-12-01,2.44487064234607,5.56835621079499,0.00305271158842089,0.0526420195181432,0.00602918196248264,0.00823617922588799
"1134","DOR_HP4","DOR","HP4",2005-01-01,2.49269014195157,10.4992560560541,0.0227324086173759,0.0430029373496191,0.00616853878772856,0.00984903034086213
"1135","DOR_HP4","DOR","HP4",2005-02-01,3.0929285962221,5.83812006902214,0.0350443856562602,0.0818049723056463,0.00851980705570492,0.00633450335710883
"1136","DOR_HP4","DOR","HP4",2005-03-01,3.04561181481677,8.88991124633544,0.0908159060221238,0.0724774724171469,0.0071901307850196,0.0111377087503801
"1137","DOR_HP4","DOR","HP4",2005-04-01,2.00691937767658,6.03675467134125,0.0256063572933162,0.0345930766285608,0.0056747312346862,0.00770776398521088
"1138","DOR_HP4","DOR","HP4",2005-05-01,2.21984509964969,5.71696500797388,0.00767732787759097,0.050127785877576,0.00620109057080944,0.00627827060299918
"1139","DOR_HP4","DOR","HP4",2005-06-01,3.60797667132588,12.1831077924916,0.0106558229678851,0.0369002068479929,0.00375152083881783,0.0177272399479151
"1140","DOR_HP4","DOR","HP4",2005-07-01,2.87168527008953,5.05842635044764,0.02,0.186,0.00569719121651745,0.0157887648660698
"1141","DOR_HP4","DOR","HP4",2005-08-01,4.3,7.4,NA,NA,0.0088,0.008
"1142","DOR_HP4","DOR","HP4",2005-09-01,4.41202758000018,7.02836054213545,0.012,0.0320494422955601,0.00997019052970621,0.00846490459524447
"1143","DOR_HP4","DOR","HP4",2005-10-01,4.20505894495947,7.73735263760132,0.0155939158721334,0.00602115140269459,0.00908248782884187,0.00599154055139502
"1144","DOR_HP4","DOR","HP4",2005-11-01,3.44126328045691,8.38813842255748,0.0134692877838509,0.020964802713626,0.0086755862369406,0.00824140437164405
"1145","DOR_HP4","DOR","HP4",2005-12-01,2.68760521536062,7.5970019632784,0.0130752027074072,0.0561950026850079,0.00885078505375059,0.00775751419617756
"1146","DOR_HP4","DOR","HP4",2006-01-01,3.10690144741879,7.6155353952613,0.012833241786179,0.0690624755376137,0.0088199336665231,0.00513524565198481
"1147","DOR_HP4","DOR","HP4",2006-02-01,2.97818255782849,6.65507491328155,0.0145596836287922,0.0727059841941205,0.0082639920907198,0.00413725527500924
"1148","DOR_HP4","DOR","HP4",2006-03-01,2.43237109807929,7.04348469226655,0.0684216782860753,0.0809430421540543,0.00693877950114394,0.00802147386489615
"1149","DOR_HP4","DOR","HP4",2006-04-01,1.95209800228161,5.66812992078095,0.0182920324720398,0.0499831044015519,0.00561886400721974,0.00689633438136092
"1150","DOR_HP4","DOR","HP4",2006-05-01,2.27271809618296,5.01771598944283,0.0109130718032177,0.0134818426353364,0.00599035219879365,0.0057327446499407
"1151","DOR_HP4","DOR","HP4",2006-06-01,3.05353165050914,10.2592103581481,0.0182126849912818,0.0433843817328311,0.00449959789741349,0.0116630157342794
"1152","DOR_HP4","DOR","HP4",2006-07-01,3.1224535389155,9.24564097344088,0.0287771033188238,0.0576455641742809,0.00483577380351243,0.0152769209426613
"1153","DOR_HP4","DOR","HP4",2006-08-01,3.22507510475404,7.94252113766957,0.0182132426417363,0.0700631532497904,0.00421254646447123,0.0146015888646222
"1154","DOR_HP4","DOR","HP4",2006-09-01,3.26919434691508,8.8270141327123,0.0135929744299113,0.0128843068410644,0.00500333142710393,0.0118645666205577
"1155","DOR_HP4","DOR","HP4",2006-10-01,2.75628255640945,9.85727134984589,0.0218280056760088,0.0138690371042161,0.00518887559213675,0.012493299307332
"1156","DOR_HP4","DOR","HP4",2006-11-01,2.44519044376843,8.4086993909147,0.0128854731677922,0.0453033357192547,0.0056418146119045,0.00598690421879183
"1157","DOR_HP4","DOR","HP4",2006-12-01,2.18856852175162,7.59995340303822,0.0131317262238201,0.0480719020277081,0.00551139025194143,0.00503210390156368
"1158","DOR_HP4","DOR","HP4",2007-01-01,2.40198657915315,5.78089418061639,0.00418316846511362,0.0558218252884528,0.00636808909158862,0.00478577259826951
"1159","DOR_HP4","DOR","HP4",2007-02-01,2.69855196404289,5.18972910576967,0.0146298037667831,0.103746094949111,0.00667255571132901,0.00642475125380144
"1160","DOR_HP4","DOR","HP4",2007-03-01,2.27940956260552,6.05752251971495,0.0965906619308619,0.114365854458632,0.00540693443933889,0.0133418083106011
"1161","DOR_HP4","DOR","HP4",2007-04-01,2.03106345775103,4.58998469743872,0.00491873366470482,0.0561943984428763,0.00555530904909205,0.00691116178475387
"1162","DOR_HP4","DOR","HP4",2007-05-01,2.39488013308579,5.19840736861704,0.00399714683786902,0.0470349180992637,0.00580773676050619,0.00659906262383586
"1163","DOR_HP4","DOR","HP4",2007-06-01,2.78143649666976,6.80037052197046,0.00460694829254832,0.0915515691424588,0.00466868811170006,0.0112926323871471
"1164","DOR_HP4","DOR","HP4",2007-07-01,2.78197053113068,6.91379533378136,0.00716037874230155,0.0956825385689215,0.00476214967757297,0.0101897667601923
"1165","DOR_HP4","DOR","HP4",2007-08-01,2.68926502587978,4.50453504729837,0.00812013590388701,0.116143359675723,0.00992945687782046,0.0091189746256059
"1166","DOR_HP4","DOR","HP4",2007-09-01,3.71682885358396,7.04027831187169,0.00614658162238921,0.0467128819395617,0.00760673173797066,0.00764978427624187
"1167","DOR_HP4","DOR","HP4",2007-10-01,3.24195187139523,7.74435375304938,0.00702583453037328,0.0121491391258759,0.00641905785986231,0.0070119223908404
"1168","DOR_HP4","DOR","HP4",2007-11-01,2.50774166997629,7.87032483902077,0.0182835947942623,0.0638642469440562,0.0063530141792691,0.00930295072056233
"1169","DOR_HP4","DOR","HP4",2007-12-01,2.50538915820384,6.51433432838321,0.0399306025499795,0.08973683755661,0.00618750150881291,0.00672441867029067
"1170","DOR_HP4","DOR","HP4",2008-01-01,NA,NA,NA,NA,NA,NA
"1171","DOR_HP4","DOR","HP4",2008-02-01,NA,NA,NA,NA,NA,NA
"1172","DOR_HP4","DOR","HP4",2008-03-01,NA,NA,NA,NA,NA,NA
"1173","DOR_HP4","DOR","HP4",2008-04-01,NA,NA,NA,NA,NA,NA
"1174","DOR_HP4","DOR","HP4",2008-05-01,NA,NA,NA,NA,NA,NA
"1175","DOR_HP4","DOR","HP4",2008-06-01,NA,NA,NA,NA,NA,NA
"1176","DOR_HP4","DOR","HP4",2008-07-01,NA,NA,NA,NA,NA,NA
"1177","DOR_HP4","DOR","HP4",2008-08-01,NA,NA,NA,NA,NA,NA
"1178","DOR_HP4","DOR","HP4",2008-09-01,NA,NA,NA,NA,NA,NA
"1179","DOR_HP4","DOR","HP4",2008-10-01,NA,NA,NA,NA,NA,NA
"1180","DOR_HP4","DOR","HP4",2008-11-01,NA,NA,NA,NA,NA,NA
"1181","DOR_HP4","DOR","HP4",2008-12-01,NA,NA,NA,NA,NA,NA
"1182","DOR_HP4","DOR","HP4",2009-01-01,NA,NA,NA,NA,NA,NA
"1183","DOR_HP4","DOR","HP4",2009-02-01,NA,NA,NA,NA,NA,NA
"1184","DOR_HP4","DOR","HP4",2009-03-01,NA,NA,NA,NA,NA,NA
"1185","DOR_HP4","DOR","HP4",2009-04-01,NA,NA,NA,NA,NA,NA
"1186","DOR_HP4","DOR","HP4",2009-05-01,NA,NA,NA,NA,NA,NA
"1187","DOR_HP4","DOR","HP4",2009-06-01,NA,NA,NA,NA,NA,NA
"1188","DOR_HP4","DOR","HP4",2009-07-01,NA,NA,NA,NA,NA,NA
"1189","DOR_HP4","DOR","HP4",2009-08-01,NA,NA,NA,NA,NA,NA
"1190","DOR_HP4","DOR","HP4",2009-09-01,NA,NA,NA,NA,NA,NA
"1191","DOR_HP4","DOR","HP4",2009-10-01,NA,NA,NA,NA,NA,NA
"1192","DOR_HP4","DOR","HP4",2009-11-01,NA,NA,NA,NA,NA,NA
"1193","DOR_HP4","DOR","HP4",2009-12-01,NA,NA,NA,NA,NA,NA
"1194","DOR_HP4","DOR","HP4",2010-01-01,NA,NA,NA,NA,NA,NA
"1195","DOR_HP4","DOR","HP4",2010-02-01,NA,NA,NA,NA,NA,NA
