Watershed,Record_Type,Date,Year,Month,Day,Hour,Ca_ueq_L,Mg_ueq_L,NO3_ueq_L,SO4_ueq_L,NH4_ueq_L,DOC_mg_L
WB,REG,11/10/1987,1987,11,10,10,84,33,1.1,112,1.4,1.3
EB,REG,11/10/1987,1987,11,10,12,87,30,0.05,110,1.4,1.4
WB,REG,11/17/1987,1987,11,17,12,82,32,2.1,108,1.4,1.1
EB,REG,11/17/1987,1987,11,17,13,86,29,0.7,108,1.4,1.4
EB,REG,11/23/1987,1987,11,23,12,85,29,1.1,94,1.4,1.4
WB,REG,11/23/1987,1987,11,23,12,86,34,3,108,1.4,1.4
EB,REG,12/1/1987,1987,12,1,8,72,26,10.2,94,1.4,3.3
WB,REG,12/1/1987,1987,12,1,11,82,28,6.5,104,1.4,2.8
EB,REG,12/8/1987,1987,12,8,10,84,28,3.1,103,1.4,1.7
WB,REG,12/8/1987,1987,12,8,11,87,31,4.9,106,1.4,1.5
WB,REG,12/15/1987,1987,12,15,10,86,32,6.2,108,1.4,1.3
EB,REG,12/15/1987,1987,12,15,11,87,30,5,107,1.4,1.3
EB,REG,12/21/1987,1987,12,21,13,88,30,5.4,105,1.4,1.3
WB,REG,12/21/1987,1987,12,21,13,83,32,6.2,104,1.4,1.1
WB,REG,12/29/1987,1987,12,29,12,87,33,6.6,105,1.4,1.3
EB,REG,12/29/1987,1987,12,29,13,91,30,6.2,107,1.4,1.4
WB,REG,1/4/1988,1988,1,4,24,83,33,7.4,98,1.4,1
EB,REG,1/5/1988,1988,1,5,15,94,31,6.1,106,1.4,1.4
EB,REG,1/11/1988,1988,1,11,24,103,35,6.4,106,1.4,2
WB,REG,1/12/1988,1988,1,12,14,81,35,6.5,102,1.4,1.1
EB,REG,1/18/1988,1988,1,18,24,89,32,18.9,106,1.4,1.2
WB,REG,1/19/1988,1988,1,19,11,89,35,14.7,102,1.4,1
WB,REG,1/26/1988,1988,1,26,24,84,35,7.6,101,1.4,0.9
EB,REG,1/27/1988,1988,1,27,11,96,33,10.6,108,1.4,1.1
WB,REG,2/2/1988,1988,2,2,10,86,34,14.4,99,1.4,1.2
EB,REG,2/2/1988,1988,2,2,12,82,29,24.5,102,1.4,1.7
WB,REG,2/8/1988,1988,2,8,24,87,33,9.7,103,1.4,1.4
EB,REG,2/9/1988,1988,2,9,11,90,29,13,107,1.4,2
EB,REG,2/15/1988,1988,2,15,24,85,30,16.6,100,1.4,1.9
WB,REG,2/16/1988,1988,2,16,14,91,34,14,100,1.4,1.2
WB,REG,2/22/1988,1988,2,22,24,87,31,13,109,1.4,1.3
EB,REG,2/23/1988,1988,2,23,11,82,27,16.7,104,1.4,1.7
EB,REG,,1988,3,0,24,85,30,8.4,99,1.4,1.3
WB,REG,3/1/1988,1988,3,1,10,86,32,9.1,107,1.4,1.1
EB,REG,3/7/1988,1988,3,7,24,87,30,9.4,105,1.4,1.4
WB,REG,3/8/1988,1988,3,8,10,84,33,9.7,105,1.4,1.1
EB,REG,3/15/1988,1988,3,15,10,87,30,10.8,106,1.4,1.3
EB,REG,3/15/1988,1988,3,15,11,90,30,11.6,105,1.4,1.3
WB,REG,3/15/1988,1988,3,15,14,85,33,9.8,106,1.4,1
WB,REG,3/22/1988,1988,3,22,10,89,35,8.4,106,1.4,1.3
EB,REG,3/22/1988,1988,3,22,11,94,32,9.4,106,1.4,1.6
EB,REG,3/25/1988,1988,3,25,18,84,29,13.6,105,1.4,1.4
WB,REG,3/25/1988,1988,3,25,18,86,33,12,102,1.4,1.3
WB,REG,3/27/1988,1988,3,27,13,73,28,27,96,1.4,3.1
EB,REG,3/27/1988,1988,3,27,14,63,25,24.4,83,1.4,3.5
EB,REG,3/28/1988,1988,3,28,11,69,26,19.3,92,1.4,2.3
WB,REG,3/28/1988,1988,3,28,12,80,30,24.6,105,1.4,2
EB,REG,3/29/1988,1988,3,29,10,74,26,18.9,95,1.4,2
EB,REG,3/29/1988,1988,3,29,11,72,26,19.4,96,1.4,2
WB,REG,3/29/1988,1988,3,29,14,82,30,22.1,107,1.4,1.7
EB,REG,4/5/1988,1988,4,5,10,74,26,10,104,1.4,1.8
WB,REG,4/5/1988,1988,4,5,10,80,30,17.3,110,5.54,1.6
EB,REG,4/5/1988,1988,4,5,12,76,26,9.7,105,1.4,1.8
EB,REG,4/12/1988,1988,4,12,10,80,27,6.6,104,1.4,1.5
EB,REG,4/12/1988,1988,4,12,10,79,27,6.5,104,1.4,1.6
WB,REG,4/12/1988,1988,4,12,10,81,30,12.1,103,1.4,1.2
EB,REG,4/19/1988,1988,4,19,10,77,26,6.7,106,3.32,1.5
EB,REG,4/19/1988,1988,4,19,10,78,27,7.4,106,3.32,1.9
WB,REG,4/19/1988,1988,4,19,11,85,31,10.1,109,1.4,1.4
WB,REG,4/26/1988,1988,4,26,9,83,30,7,107,1.4,1.4
EB,REG,4/26/1988,1988,4,26,10,76,26,4.5,104,1.4,1.6
EB,REG,4/26/1988,1988,4,26,10,78,26,4,104,1.4,1.7
EB,REG,5/3/1988,1988,5,3,10,74,26,4.9,107,1.4,1.6
EB,REG,5/3/1988,1988,5,3,10,75,26,4.7,106,,1.6
WB,REG,5/3/1988,1988,5,3,10,81,30,8.2,112,1.4,1.3
EB,REG,5/10/1988,1988,5,10,8,81,28,2,111,1.4,1.5
WB,REG,5/10/1988,1988,5,10,8,80,30,6.2,110,1.4,1.3
EB,REG,5/17/1988,1988,5,17,9,77,26,1.7,104,1.4,1.7
EB,REG,5/17/1988,1988,5,17,10,80,26,1.4,109,1.4,1.5
WB,REG,5/17/1988,1988,5,17,10,77,30,4.6,105,1.4,1.4
EB,REG,5/24/1988,1988,5,24,8,83,27,0.05,108,1.4,2
EB,REG,5/24/1988,1988,5,24,8,80,27,0.3,109,1.4,1.7
WB,REG,5/24/1988,1988,5,24,8,78,30,1.8,103,1.4,1.4
WB,REG,5/31/1988,1988,5,31,9,81,30,2,115,1.4,1.4
EB,REG,5/31/1988,1988,5,31,10,80,26,0.05,114,1.4,1.4
EB,REG,6/7/1988,1988,6,7,8,84,28,0.05,113,1.4,1.5
EB,REG,6/7/1988,1988,6,7,9,95,30,0.05,113,1.4,1.5
