Year,Month,H2O_mm,Ca_WET_kg_ha_mo,Mg_WET_kg_ha_mo,NO3N_WET_kg_ha_mo,NH4N_WET_kg_ha_mo,N_WET_kg_ha_mo,SO4S_WET_kg_ha_mo
1999,6,56,0.09,0.0264,0.37,0.2,0.57,0.68
1999,7,51,0.05,0.0144,0.16,0.06,0.22,0.36
1999,8,79,0.008,0.0036,0.14,0.13,0.27,0.41
1999,9,212,0.176,0.132,0.25,0.18,0.44,0.72
1999,10,111,0.084,0.0744,0.19,0.12,0.31,0.47
1999,11,128,0.04,0.1164,0.27,0.12,0.39,0.49
1999,12,132,0.04,0.0192,0.27,0.06,0.33,0.27
2000,1,117,0.084,0.0552,0.28,0.14,0.43,0.41
2000,2,60,0.07,0.1164,0.19,0.06,0.25,0.29
2000,3,93,0.076,0.0192,0.29,0.14,0.42,0.46
2000,4,193,0.222,0.2292,0.67,0.38,1.05,1.14
2000,5,122,0.128,0.0408,0.4,0.4,0.81,0.87
2000,6,76,0.018,0,0.19,0.14,0.33,0.38
2000,7,87,0,0,0.12,0.07,0.2,0.28
2000,8,52,0.062,0,0.15,0.14,0.29,0.31
2000,9,101,0.13,0,0.22,0.18,0.4,0.48
2000,10,80,0.058,0.0444,0.12,0.08,0.2,0.4
2000,11,127,0.044,0.0072,0.05,0.04,0.09,0.14
2000,12,94,0.044,0.0828,0.18,0.05,0.23,0.28
2001,1,64,0.044,0.054,0.17,0.04,0.21,0.19
2001,2,119,0.102,0.0552,0.58,0.25,0.83,0.73
2001,3,55,0.016,0.0108,0.1,0.05,0.15,0.15
2001,4,157,0.076,0.0228,0.12,0.1,0.23,0.41
2001,5,42,0.034,0.012,0.06,0.04,0.1,0.15
2001,6,69,0.048,0.0108,0.11,0.06,0.17,0.23
2001,7,80,0.056,0.0084,0.06,0.05,0.11,0.11
2001,8,27,0.024,0.0048,0.09,0.08,0.17,0.3
2001,9,63,0.026,0.0312,0.13,0.09,0.22,0.34
2001,10,79,0.048,0.0396,0.17,0.09,0.25,0.34
2001,11,41.1,0.074,0.0492,0.39,0.18,0.57,0.42
2001,12,99.4,0.05,0.0492,0.31,0.09,0.4,0.3
2002,1,87.9,0.052,0.0264,0.22,0.09,0.31,0.2
2002,2,122,0.116,0.0756,0.36,0.17,0.53,0.41
2002,3,90.8,0.138,0.0456,0.11,0.09,0.21,0.24
2002,4,269,0.17,0.0576,0.48,0.43,0.91,0.83
2002,5,76.3,0.044,0.0156,0.14,0.14,0.28,0.27
2002,6,80.6,0.066,0.0156,0.24,0.2,0.44,0.33
2002,7,108,0.14,0.0216,0.27,0.36,0.63,0.52
2002,8,15.3,0.01,0.0012,0.06,0.07,0.14,0.15
2002,9,109,0.044,0.0276,0.14,0.13,0.27,0.32
2002,10,115,0.048,0.0456,0.17,0.09,0.26,0.29
