region,site,catchment,type,WaterYear,CSMeanTempC,CSPrecipitationmm,Runoffmm,StrCamgL,StrDOCmgL,StrNH4NmgL,StrNO3NmgL,StrTDPmgL,StrSO4SmgL,depNH4Nkgha,depNO3Nkgha,depTotNkgha,depSO4Skgha,NAMGridTempC,NAMGridPrecipitationmm,FWACamgL,FWADOCmgL,FWANH4NmgL,FWANO3NmgL,FWATDPmgL,FWASO4SmgL,iNDVI
EF,BBWM,WB,managed,2015,4.845115836,NA,NA,0.101614068,0.106556172,9.89e-5,0.050773592,NA,0.344364059,NA,NA,NA,NA,5.562499955,1397.19001,NA,NA,NA,NA,NA,NA,137.6602
EF,BBWM,WB,managed,2016,6.449448158,NA,NA,0.105150779,0.16077677,NA,0.021248271,NA,0.396289347,NA,NA,NA,NA,7.248333228,1188.66,NA,NA,NA,NA,NA,NA,NA
EF,BBWM,WB,managed,2017,5.955040825,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.754583458,1182.249981,NA,NA,NA,NA,NA,NA,NA
EF,BBWM,WB,managed,2018,6.034014265,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.739166513,1334.420006,NA,NA,NA,NA,NA,NA,NA
EF,BBWM,WB,managed,2019,4.878583025,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.144999981,467.0799942,NA,NA,NA,NA,NA,NA,NA
EF,BBWM,EB,unmanaged,1981,5.115053092,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.4175,1293.09,NA,NA,NA,NA,NA,NA,NA
EF,BBWM,EB,unmanaged,1982,4.68828151,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.9779,1275.08,NA,NA,NA,NA,NA,NA,127.77495
EF,BBWM,EB,unmanaged,1983,6.511114539,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.7733,1301.15,NA,NA,NA,NA,NA,NA,130.7481
EF,BBWM,EB,unmanaged,1984,5.523039941,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.77,1597.58,NA,NA,NA,NA,NA,NA,124.8114
EF,BBWM,EB,unmanaged,1985,5.747754388,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.7042,958.16,NA,NA,NA,NA,NA,NA,118.49575
EF,BBWM,EB,unmanaged,1986,5.693076499,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.2254,1242.9,NA,NA,NA,NA,NA,NA,119.1449
EF,BBWM,EB,unmanaged,1987,5.46584371,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.4358,1094.99,NA,NA,NA,NA,NA,NA,120.8676
EF,BBWM,EB,unmanaged,1988,5.474176743,1040.8,744.1882049,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.17,5.8617,1043.75,NA,NA,NA,NA,NA,NA,109.9728
EF,BBWM,EB,unmanaged,1989,5.531173136,1437.8,1035.152971,0.161091051,0.212543269,0.001348422,0.019535034,NA,0.301955773,1.43,3.22,4.65,6.51,5.5096,1289.18,0.001566479,0.00206681,4.37077e-6,1.42472e-4,NA,0.002936274,132.4008
EF,BBWM,EB,unmanaged,1990,5.24713215,1387,1076.008022,0.112556611,0.147727584,5.41171e-4,0.013137328,NA,0.271012909,1.37,3.02,4.39,6.1,5.3658,1292.66,0.001052963,0.001381987,4.21887e-7,8.19328e-5,NA,0.002535317,149.4158
EF,BBWM,EB,unmanaged,1991,6.545199458,1359,1027.789561,0.121515151,0.168279621,0.001045672,0.016210277,NA,0.27863866,1.3,2.41,3.71,5.1,6.7658,1452.16,0.001090926,0.001510764,8.5343e-7,1.05841e-4,NA,0.002501534,140.6972
EF,BBWM,EB,unmanaged,1992,4.947303995,1267,857.4810066,0.12909097,0.150256046,0.001020526,0.008528936,NA,0.276433853,1.2,2.3,3.5,4.8,5.2108,1079.39,0.001515406,0.001763864,9.98334e-7,5.00608e-5,NA,0.003245073,136.7901
EF,BBWM,EB,unmanaged,1993,5.041912538,1102,816.1508971,0.119726522,0.142723468,NA,0.005101639,NA,0.268110783,1.07,2.31,3.38,4.77,5.2167,1069.46,0.001107488,0.001320213,NA,2.62172e-5,NA,0.002480064,139.0618
EF,BBWM,EB,unmanaged,1994,4.922615323,1370,1055.105438,0.131974746,0.152050678,NA,0.003872379,NA,0.274794383,1.34,2.57,3.91,4.85,5.1788,1356.42,0.001049232,0.001208841,NA,1.53932e-5,NA,0.002184683,128.1218
EF,BBWM,EB,unmanaged,1995,6.148002143,1094,664.1321037,0.110243488,0.168778248,0.001170672,0.003786954,NA,0.256503952,1.25,2.32,3.57,3.68,6.0996,1034.9,0.001253192,0.001918585,1.47862e-6,2.39156e-5,NA,0.002915806,138.3685
EF,BBWM,EB,unmanaged,1996,5.807721184,1757,1519.000287,0.108356224,0.164426687,8.24353e-4,0.002255617,NA,0.229056655,1.54,3.07,4.61,5.16,5.49,1561.96,7.18048e-4,0.001089613,1.82092e-6,4.98246e-6,NA,0.001517899,128.2487
EF,BBWM,EB,unmanaged,1997,5.440990123,1292,966.9820437,0.110704545,0.171375653,NA,0.004440054,NA,0.261714976,1.63,3.61,5.24,5.83,5.5762,1184.76,9.60337e-4,0.001486645,NA,2.31099e-5,NA,0.002270318,143.6587
EF,BBWM,EB,unmanaged,1998,5.71366947,1111,1055.105438,0.089841371,0.197456629,NA,0.002012174,NA,0.245070337,1.23,2.01,3.24,3.88,6.5775,1218.95,6.42835e-4,0.001412846,NA,4.79919e-6,NA,0.001753533,156.3576
EF,BBWM,EB,unmanaged,1999,6.473479108,1428,941.3288723,0.099392461,0.193637994,0.001478802,0.00592557,NA,0.242630076,1.8,3.03,4.83,6.88,7.3421,1288.18,8.85704e-4,0.001898097,2.63557e-6,2.64019e-5,NA,0.00216212,135.8884
EF,BBWM,EB,unmanaged,2000,5.201534259,1272,1082.421315,0.09525458,0.190109494,0.001192131,0.003043173,NA,0.23066478,1.95,3.24,5.19,5.85,6.1879,1220.19,7.38186e-4,0.001473276,5.54313e-6,1.17917e-5,NA,0.001787563,155.3387
