solute,WaterYear,NE_BBWM_EB,SE_CWT_CWT18,GL_DOR_HP3,GL_DOR_HP3A,GL_DOR_HP5,GL_DOR_HP6,GL_DOR_HP6A,GL_ELA_EIF,GL_ELA_NEIF,GL_ELA_NWIF,NE_HBEF_WS6,NE_HBEF_WS7,NE_HBEF_WS8,NE_HBEF_WS9,WC_HJA_HJA08,WC_HJA_HJA09,GL_MEF_S2,GL_MEF_S5,SE_SEF_WS80,NE_SLP_SLPW9,GL_TLW_C32,GL_TLW_C35,GL_TLW_C38
Ca,2000,NA,NA,0.249659375,0.190953139,0.226339131,120.3037,120.3037,0.468872232,0.227319056,0.214123973,0.795616291,0.012011223,0.012690441,0.028298949,0.131105728,0.221573548,0.080705691,0.097658481,NA,10.33558531,0.209660402,0.128513555,0.930587459
Ca,2001,4.315317705,NA,0.177233742,0.156573539,0.191917076,121.01895,121.01895,0.300113576,0.13225003,0.170677056,0.499815732,0.018945573,0.020507083,0.027440317999999998,0.17835223,0.253367446,0.081271863,0.13015235,NA,14.9839099,0.226510851,0.150690084,1.360426326
Ca,2002,4.219967853,NA,0.138113096,0.114636523,0.155355579,133.35525,133.35525,0.242824884,0.135770393,0.115523694,0.308264201,0.017889935,0.019778412,0.026220545,0.216425923,0.231118463,0.09672522,0.120407815,NA,11.82393494,0.103099076,0.07419352,0.913881746
Ca,2003,NA,0.07610304,0.365950955,0.309947174,0.311485062,132.2988,132.2988,0.377838951,0.487315491,0.103213986,0.237619964,0.018008066,0.019222377,0.01947461,0.138970322,0.193599563,0.14989388,0.221807176,0.60051754,14.15944573,0.123474721,0.097810335,0.788498343
Ca,2004,4.239579407,0.082377382,0.377690261,0.410749518,0.333567456,136.8985,136.8985,0.469926801,0.159008516,0.114111243,0.342515207,0.015664797,0.019494333,0.02479672,0.134500322,0.133762067,0.093798839,0.117857788,1.304261115,23.89826174,0.17979508,0.081565001,0.924725422
Ca,2005,3.750237542,0.092544632,0.332585336,0.310819606,0.302927246,136.09,136.09,0.286160937,0.126228623,0.148855605,0.213322624,0.016218647,0.016970388,0.015623773,0.194971426,0.420254202,0.085065111,0.105093107,2.17437944,20.237972890000002,0.069522303,0.032044086,0.125973422
Ca,2006,3.950554997,0.087898704,0.38957127,0.281734964,0.289072491,124.859,124.859,0.223715417,0.164389405,0.121265734,0.138932815,0.009748176,0.010277658,0.009251928,0.149207998,0.178402338,0.096461333,0.074690189,1.78140323,7.896915409,NA,NA,NA
Ca,2007,NA,0.089919008,0.41116658699999997,0.301360383,0.370059066,138.4765,138.4765,0.190289365,0.425553488,0.164888089,0.206883569,0.012104256,0.013008555,0.013152922,0.136658791,0.183696298,0.235272468,0.284776674,0.928005934,9.722495835,0.032315087,0.021472495,0.138572042
Ca,2008,3.229967371,0.088053108,0.309019184,0.218664311,0.254243029,140.8105,140.8105,0.160492292,0.075892727,0.070747141,0.14317362,0.009912094,0.010089161,0.007462209,0.146913692,0.132883238,0.079084759,0.098365958,1.864534198,8.358642071,0.016887307,0.011556219,0.146058994
Ca,2009,2.921831972,0.081782793,0.324226589,0.248103942,0.193624745,139.73755,139.73755,0.208331088,0.103306864,0.099462217,0.169349364,0.009251379,0.009211146,0.011214962,0.131970847,0.215759365,0.08125505,0.117021628,1.972986988,11.47679463,NA,0.006373525,0.009684906
Ca,2010,3.480166653,0.077901509,0.178724789,0.103006911,0.134152283,130.8906,130.8906,0.283245116,0.130664075,0.125338795,0.186869419,0.012132615,0.013329415,0.014196927,0.227390428,0.235982177,0.079726344,0.128679938,2.112748423,11.75547727,0.102167793,0.091527258,0.178357391
Ca,2011,3.292737981,0.086900619,0.100469386,0.209126893,NA,114.3018,114.3018,0.371469358,0.133877291,0.173763886,0.239404684,0.014789286,0.016413702,0.008179955,0.153499877,0.244177483,0.107352451,0.06254567,2.736620468,8.153021354,NA,NA,NA
Ca,2012,3.784106264,0.087677716,NA,NA,NA,153.15775,153.15775,0.299143519,0.154301766,0.195056703,0.272628115,0.012007038,0.011536977,NA,0.117261198,0.171498245,0.079091212,0.100487587,2.6866948,12.78398475,NA,NA,NA
Ca,2013,3.319945303,0.080856607,NA,NA,NA,130.2031,130.2031,0.526388235,0.300651558,0.168154169,0.670615478,0.008229398,0.00890119,NA,0.198518132,0.192067724,0.099304809,0.342980062,2.402085721,9.155887248,NA,NA,NA
Ca,2014,NA,0.077180446,NA,NA,NA,119.56785,119.56785,0.001018304,NA,1.74383e-4,0.15468457,0.011510222,0.012999702,NA,0.14623987,0.144145938,0.09020102,0.107585612,2.440146084,11.33598588,NA,NA,NA
Ca,2015,NA,0.103724418,NA,NA,NA,105.46315,105.46315,0.286548125,0.213465228,0.157255365,0.126516161,0.008582896,0.009659085,NA,0.110023941,0.111899945,0.212962386,0.165274922,1.116405264,11.35111897,NA,NA,NA
Ca,2016,NA,0.082799346,NA,NA,NA,NA,NA,0.482260943,0.230069455,0.174588175,0.10880357,0.009898119,0.01160894,NA,0.229192326,0.210872481,0.169843783,0.164723667,1.328663427,12.68165622,NA,NA,NA
Ca,2017,NA,0.086189514,NA,NA,NA,NA,NA,NA,NA,NA,0.090218289,0.009234036,0.010308454,NA,0.205679207,0.349183659,0.304934867,0.209395873,0.797814681,8.612868075,NA,NA,NA
Ca,2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.159664583,0.282621148,NA,NA,0.560672711,11.12181271,NA,NA,NA
Ca,2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ca,2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DOC,1961,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DOC,1962,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DOC,1963,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DOC,1964,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
