Year,Month ,Water Year,CSMeanTempC,CSPrecipitationmm,Runoffmm,1 Ca (mg/L),1 TOC TC-IC(mg/L),1 NH4-N(mg/L),1 NO3+NO2-N(mg/L),1 TP(mg/L),1 SO4-S (mg/L),2 NH4-N (kg/ha),2 NO3-N (kg/ha),2 Total N (kg/ha),2 SO4-S (kg/ha),T2 (DegC),P2 (mm),FWACamgL,FWATOCTCICmgL,FWANH4NmgL,FWANO3NO2NmgL,FWATDPmgL,FWASO4SmgL,N/A
1988,9,1988,12.6,219.1,47.42,N/A,N/A,N/A,N/A,N/A,N/A,0.030367928,0.028244002,0.05861193,0.049228843,12.71500015,105.7699966,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1988,10,1988,3.629032258,26,3.1,N/A,N/A,N/A,N/A,N/A,N/A,0.008865909,0.006083284,0.014949194,0.007023471,3.839999914,22.54999924,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1988,11,1989,-2.216666667,74.9,0.63,N/A,N/A,N/A,N/A,N/A,N/A,0.00700351,0.012955226,0.019958735,0.011060171,-2.765000105,51.72999954,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1988,12,1989,-12.0483871,43.6,0,N/A,N/A,N/A,N/A,N/A,N/A,0.008151119,0.02140732,0.029558439,0.011493851,-11.64999962,29.20000076,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1989,1,1989,-11.24193548,45,0.12,N/A,N/A,N/A,N/A,N/A,N/A,0.001200783,0.014148614,0.015349397,0.007547345,-12.27499962,39.06000137,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1989,2,1989,-17.75,15.6,0.03,N/A,N/A,N/A,N/A,N/A,N/A,0.000909276,0.003846461,0.004755737,0.002646869,-17.27499962,7.860000134,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1989,3,1989,-6.5,28.4,0.16,N/A,N/A,N/A,N/A,N/A,N/A,0.020427026,0.014328425,0.034755451,0.015589651,-7.110000134,21.19000053,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1989,4,1989,3.35,49.2,69.53,N/A,N/A,N/A,N/A,N/A,N/A,0.008272367,0.007012746,0.015285112,0.013434923,2.924999952,33.75,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1989,5,1989,12.32258065,72.3,10.72,1.133333333,N/A,0.023333333,0.005,0.006666667,0.3996,0.021332008,0.012203549,0.033535558,0.032620498,11.77999973,77.48999786,1.313583989,N/A,0.029368634,0.005754984,0.008929333,0.512934052,N/A
1989,6,1989,16.26666667,228,45.25,1.4,N/A,0.015,0.0075,0.0075,0.2664,0.115069775,0.063976253,0.179046028,0.118975248,16.11000061,129.9900055,1.95613062,N/A,0.022975574,0.011487787,0.011487787,0.413745223,N/A
1989,7,1989,21.27419355,52.2,11.71,1.9,N/A,0.03,0.01,0.04,0.0999,0.039454933,0.017886092,0.057341025,0.032232056,20.75499916,48.86999893,0.355010117,N/A,0.005605423,1.87E-03,0.007473897,0.018666058,N/A
1989,8,1989,18.80645161,159.4,4.18,2.15,N/A,0.07,0.0275,0.0275,0.58275,0.03070048,0.021844107,0.052544587,0.035666513,18.38999939,107.1999969,9.951917327,N/A,0.398076693,0.248797933,0.248797933,4.970982705,N/A
1989,9,1989,13.08333333,91.2,21.03,1.7,N/A,0.05,0.0125,0.0125,0.1998,0.034124051,0.022700513,0.056824564,0.039060094,12.78499985,84.91000366,0.637229359,N/A,0.019725769,0.002542385,0.002542385,0.069277501,N/A
1989,10,1989,6.306451613,46.7,1.49,1.45,N/A,0.045,0.02,0.04,0.333,0.00331946,0.00354106,0.006860521,0.003324668,6.715000153,38.90999985,2.471717003,N/A,0.081823143,0.033069711,0.006809081,0.649395714,N/A
1989,11,1990,-5.866666667,27.1,0.03,2.2,N/A,0.03,0.035,0.0075,0.4329,0.010955104,0.008989572,0.019944676,0.008063427,-5.59499979,15.68999958,2.070382166,N/A,0.033726115,0.030191083,0.005684713,0.370807166,N/A
1989,12,1990,-17.90322581,21.5,0,N/A,N/A,N/A,N/A,N/A,N/A,0.001996358,0.00472944,0.006725799,0.003526797,-16.85000038,13.18000031,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1990,1,1990,-8.338709677,41.4,0,N/A,N/A,N/A,N/A,N/A,N/A,0.003291546,0.006516974,0.00980852,0.004959287,-8.574999809,20,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1990,2,1990,-11.375,22.5,0,N/A,N/A,N/A,N/A,N/A,N/A,0.003833802,0.007101273,0.010935075,0.003684395,-10.86499977,14.56999969,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1990,3,1990,-1.693548387,49.3,1.04,N/A,N/A,N/A,N/A,N/A,N/A,0.013402924,0.009803422,0.023206346,0.015600156,-2.400000095,37.95000076,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1990,4,1990,4.533333333,67,34.44,N/A,N/A,N/A,N/A,N/A,N/A,0.028873993,0.013067329,0.041941321,0.016293024,4.340000153,50.24000168,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1990,5,1990,10.80645161,18.3,13.34,1.95,N/A,0.02,0.005,0.0075,0.54945,0.008918889,0.010724486,0.019643375,0.014366363,9.965000153,25.11000061,0.662613065,N/A,0.006906648,0.001726662,0.003129248,0.21488296,N/A
1990,6,1990,17.65,146.3,13.6,2.1,N/A,0.01,0.01,0.005,0.3663,0.020138276,0.024561238,0.044699514,0.033554938,17.31500053,131.8899994,1.712696942,N/A,0.0081557,0.0081557,0.00407785,0.298743281,N/A
1990,7,1990,18.77419355,46.7,0.65,2.5,N/A,0.005,0.02,0.005,0.0999,0.019632181,0.013126453,0.032758633,0.022952058,18.76000023,60.36999893,11.12065001,N/A,0.0222413,0.0889652,0.0222413,0.444381174,N/A
1990,8,1990,19.09677419,18.9,0,N/A,N/A,N/A,N/A,N/A,N/A,0.01220729,0.011220113,0.023427402,0.013144619,18.67499924,46.59999847,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1990,9,1990,13.05,44.1,0,N/A,N/A,N/A,N/A,N/A,N/A,0.018384778,0.012421091,0.030805869,0.018123108,13.39000034,53.08000183,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1990,10,1990,4.774193548,101.1,0.32,3.7,N/A,0.005,0.005,0.03,0.8325,0.019033264,0.010983319,0.030016584,0.020255974,5.099999905,93.40000153,10.09504732,N/A,0.013641956,0.013641956,0.081851735,2.271385647,N/A
1990,11,1991,-0.983333333,14.5,1.05,N/A,N/A,N/A,N/A,N/A,N/A,0.011454785,0.00799091,0.019445695,0.010542612,-1.279999971,11.09000015,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1990,12,1991,-13.27419355,29.6,0.09,N/A,N/A,N/A,N/A,N/A,N/A,0.002294364,0.008906127,0.011200492,0.002732713,-12.57999992,24.77000046,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1991,1,1991,-15.98387097,26.2,0,N/A,N/A,N/A,N/A,N/A,N/A,0.001457488,0.007656681,0.009114169,0.003874563,-16.27499962,17.17000008,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1991,2,1991,-7.571428571,25.2,0,N/A,N/A,N/A,N/A,N/A,N/A,0.002559409,0.0067193,0.009278708,0.004028237,-7.974999905,17.40999985,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1991,3,1991,-2.161290323,33.1,0,N/A,N/A,N/A,N/A,N/A,N/A,0.011511608,0.010063534,0.021575142,0.017425791,-2.930000067,25.68000031,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1991,4,1991,7.716666667,72.5,16.57,3.5,N/A,0.0775,0.155,0.02875,4.537125,0.010768562,0.013919207,0.024687769,0.030243295,6.795000076,60.59999847,3.823187732,N/A,0.046278002,0.051395259,0.006685792,5.157238627,N/A
1991,5,1991,15.01612903,92.8,21.42,2.9,N/A,0.005,0.01,0.02,1.998,0.012159342,0.013072832,0.025232174,0.021407166,14.24499989,90.52999878,0.185920694,N/A,3.21E-04,6.41E-04,1.28E-03,0.128092947,N/A
1991,6,1991,18.55,98.3,0.98,2.9,N/A,0.0225,0.02,0.075,0.48285,0.045139907,0.037765881,0.082905788,0.054187181,18.64999962,96.25,1.965001526,N/A,0.025340828,0.013551735,0.036397395,0.375196714,N/A
1991,7,1991,19.17741935,76,3.21,3.7,N/A,0.0375,0.035,0.005,0.51615,0.009478981,0.010356912,0.019835892,0.013110555,18.85000038,114.5899963,4.404501758,N/A,0.006724559,0.013140497,0.006473805,0.989730431,N/A
1991,8,1991,20.29032258,60.3,0,N/A,N/A,N/A,N/A,N/A,N/A,0.033013278,0.019079826,0.052093104,0.031863693,19.80500031,55.61999893,N/A,N/A,N/A,N/A,N/A,N/A,N/A
