Year,Month,WaterYear,CSMeanTempC,CSPrecipitationmm,Runoffmm,StrCamgL,StrDOCmgL,StrNH4NmgL,StrNO3NmgL,StrSO4SmgL,depNH4Nkgha,depNO3Nkgha,depTotNkgha,depSO4Skgha,NAMGridTempC,NAMGridPrecipitationmm
1988,11,1989,3.68620858,251,192.161256,0.131289733,0.22768877,0.000629471,0.008183127,0.276247986,0.12,0.43,0.55,0.68,3.059999943,204.7299957
1988,12,1989,-5.806460271,30,29.21611186,0.141949073,0.127754166,N/A,0.012420544,0.293361418,0.02,0.12,0.14,0.12,-6.554999828,41.72999954
1989,1,1989,-5.9987606,81.1,13.53917379,0.165918544,0.114866684,N/A,0.017868151,0.306311158,0.12,0.38,0.5,0.42,-6.554999828,55.77999878
1989,2,1989,-7.701992086,83,37.52963962,0.151943905,0.276261646,N/A,0.03867663,0.272578157,0.05,0.19,0.24,0.26,-7.545000076,79.72000122
1989,3,1989,-3.323277761,55.1,81.47257209,0.142104265,0.162889665,N/A,0.026724086,0.264695706,0.08,0.15,0.23,0.32,-3.424999952,77.91999817
1989,4,1989,3.1591942,133,169.8334958,0.126165924,0.205731854,0.002136681,0.031337988,0.260471586,0.12,0.36,0.48,0.51,3.075000048,97.93000031
1989,5,1989,12.01894414,312,360.807105,0.115900157,0.258620184,0.001005745,0.027490368,0.261302171,0.34,0.41,0.75,1.24,12.55000019,211.0099945
1989,6,1989,15.7297831,120,71.49633878,0.118428442,0.16966687,N/A,0.00338367,0.286161786,0.07,0.18,0.25,0.41,16.22999954,104.9700012
1989,7,1989,17.87156285,29.6,0.475058729,0.3637445,0.4364934,N/A,N/A,0.5819912,0.11,0.11,0.22,0.3,18.625,61.15000153
1989,8,1989,16.65087381,113,1.187646824,0.1454978,0.17459736,N/A,N/A,0.23279648,0.18,0.41,0.59,1.13,17.40500069,116.1500015
1989,9,1989,12.93919876,105,2.850352376,0.18187225,0.18187225,N/A,N/A,0.2909956,0.12,0.25,0.37,0.58,13.34000015,113.9000015
