Water Year,CSMeanTempC,CSPrecipitationmm,Runoffmm,StrCamgL,StrDOCmgL,StrNH4NmgL,StrNO3NmgL,StrTDPmgL,StrSO4SmgL,depNH4Nkgha,depNO3Nkgha,depTotNkgha,depSO4Skgha,NAMGridTempC,NAMGridPrecipitationmm,FWACamgL,FWADOCmgL,FWANH4NmgL,FWANO3NmgL,FWATDPmgL,FWASO4SmgL,iNDVI
2006,5.097527473,599.8,97.54970056,3.105833333,28.599,0.028795605,0.015360973,0.0165,0.54994874,N/A,N/A,N/A,N/A,4.463468793,566.0745158,0.223715417,2.618646332,0.001741467,0.001507573,0.001995558,0.054994816,121.526
2007,3.654109589,789.7,239.3927178,3.558125,31.398,0.026255768,0.001898661,0.015875,1.077365438,N/A,N/A,N/A,N/A,2.974441763,676.781892,0.190289365,2.430657188,0.001985479,7.79474E-05,0.001112955,0.087414264,75.7957
2008,2.358219178,790.4,262.7635109,3.612941176,18.79058824,0.020463341,0.006425564,0.012941176,0.556673991,N/A,N/A,N/A,N/A,1.625691763,678.0785987,0.160492292,0.845262397,0.001018769,0.000212968,0.000545435,0.028309688,100.2202
2009,2.061977716,833.3,325.4266781,3.503478261,20.05043478,0.021337164,0.007690308,0.011727273,0.556008082,N/A,N/A,N/A,N/A,1.422455579,734.3355822,0.208331088,1.467384023,0.001478285,0.000373447,0.000729933,0.041831598,108.8718
2010,4.61739726,986.7,365.3037136,4.366956522,22.57356522,0.030689053,0.00862336,0.015521739,0.347886028,N/A,N/A,N/A,N/A,3.925390437,794.8986433,0.283245116,1.666397519,0.00231949,0.000485765,0.000940811,0.021894791,128.4974
2011,3.671232877,692.9,204.6001479,3.8085,19.887,0.019839848,0.014938095,0.01585,0.58065908,N/A,N/A,N/A,N/A,2.845044478,604.405243,0.371469358,2.63281788,0.002472832,0.001260339,0.001595091,0.04173103,104.8143
2012,6.027322404,593.2,67.65366936,3.734545455,18.53563636,0.015247846,0.012025095,0.01,1.01295566,N/A,N/A,N/A,N/A,5.336444273,546.7197164,0.299143519,2.225555556,0.002310359,0.00472946,0.001123457,0.087555066,127.193
2013,2.868493151,738.5,114.7919899,3.849,23.25733333,0.018791559,0.032855415,0.0137,1.296844222,N/A,N/A,N/A,N/A,1.959785634,713.0142719,0.526388235,2.528315294,0.002810969,0.011307058,0.002509412,0.226914849,100.674
2014,0.903424658,822.3,202.4911909,3.95,27.1656,0.025983243,0.005718009,0.0149375,N/A,N/A,N/A,N/A,N/A,0.332257342,690.9211693,0.001018304,1.54987471,0.000903827,0.000161779,0.000705852,N/A,88.1715
2015,3.115890411,656.2,135.0463292,4.678,26.90666667,0.020271016,0.010724147,0.015052632,0.378983391,N/A,N/A,N/A,N/A,2.696729407,616.9049982,0.286548125,2.104958639,0.001351915,0.000783958,0.001036722,0.032607897,127.1102
2016,4.768579235,1033.1,368.49325,4.870740741,26.11377778,0.018636257,0.009601197,0.017708333,0.271868101,N/A,N/A,N/A,N/A,4.279815937,851.5374286,0.482260943,3.062357841,0.001251503,0.000500294,0.001606035,0.024925185,N/A
2017,N/A,747.8,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3.82736449,648.7264587,N/A,N/A,N/A,N/A,N/A,N/A,N/A
