Water Year,CSMeanTempC,CSPrecipitationmm,Runoffmm,StrCamgL,StrDOCmgL,StrNH4NmgL,StrNO3NmgL,StrTDPmgL,StrSO4SmgL,depNH4Nkgha,depNO3Nkgha,depTotNkgha,depSO4Skgha,NAMGridTempC,NAMGridPrecipitationmm,FWACamgL,FWADOCmgL,FWANH4NmgL,FWANO3NmgL,FWATDPmgL,FWASO4SmgL,iNDVI
2004,2.222677596,858.4,326.1575201,1.914347826,42.6093913,0.000587724,0.007478261,1.914347826,0.017049474,N/A,N/A,N/A,N/A,1.918465933,744.1436383,0.159008516,3.361038321,0.001591871,7.61123E-05,0.000868157,0.044194539,119.3179
2005,3.389041096,729.3,275.5177956,1.385,34.81725,0.000349989,0.00975,1.385,0.018781853,N/A,N/A,N/A,N/A,3.018011503,727.4422763,0.126228623,3.278171017,0.00179555,4.2253E-05,0.000833843,0.016705425,132.0809
2006,5.097527473,599.8,144.1818599,2.705,45.256,0.005574377,0.024818182,2.705,0.053838075,N/A,N/A,N/A,N/A,4.501022778,564.3609105,0.164389405,2.267265222,0.001740004,0.000186524,0.001156519,0.024664131,121.526
2007,3.654109589,789.7,213.272101,3.722631579,35.23010526,0.002733587,0.015,3.722631579,0.029916096,N/A,N/A,N/A,N/A,3.007348421,675.6431774,0.425553488,3.097769302,0.002961034,0.000419399,0.001499302,0.105779885,75.7957
2008,2.358219178,790.4,272.7898967,1.739411765,32.34141176,0.000648456,0.008882353,1.739411765,0.044809235,N/A,N/A,N/A,N/A,1.660700821,676.1868217,0.075892727,1.316022545,0.005404938,2.03274E-05,0.000459091,0.014947317,100.2202
2009,2.061977716,833.3,281.0727899,1.574761905,35.77428571,0.000485785,0.0101,1.574761905,0.026956014,N/A,N/A,N/A,N/A,1.456344763,732.7140825,0.103306864,2.363661196,0.001852691,4.92341E-05,0.000677607,0.025293307,108.8718
2010,4.61739726,986.7,306.2190586,1.568571429,33.28571429,0.001191874,0.008666667,1.568571429,0.035349725,N/A,N/A,N/A,N/A,3.959640208,793.0131817,0.130664075,2.862571429,0.004857154,0.000128836,0.000712342,0.014066002,128.4974
2011,3.671232877,692.9,194.8215844,1.352222222,37.92266667,0.00054416,0.014222222,1.352222222,0.027307293,N/A,N/A,N/A,N/A,2.881477232,602.9100009,0.133877291,3.757753564,0.002626852,5.48179E-05,0.001190937,0.015185376,104.8143
2012,6.027322404,593.2,61.79931114,2.04,50.46763636,0.000556938,0.029363636,2.04,0.057602976,N/A,N/A,N/A,N/A,5.370378853,544.6290958,0.154301766,4.051608347,0.002447317,5.46721E-05,0.001557785,0.027026127,127.193
2013,2.868493151,738.5,174.8831228,2.158461538,48.278,0.001645819,0.010846154,2.158461538,0.031418818,N/A,N/A,N/A,N/A,1.99397725,710.7790907,0.300651558,6.169104816,0.004038186,0.000155984,0.001818697,0.094052542,100.674
2014,0.903424658,822.3,216.1037052,N/A,47.8584,0.001129483,0.0094375,N/A,0.032135597,N/A,N/A,N/A,N/A,0.367348564,688.4804583,N/A,2.74895709,0.00130167,3.25043E-05,0.00070056,N/A,88.1715
2015,3.115890411,656.2,133.2057865,1.992,49.22533333,0.000528864,0.010105263,1.992,0.021088396,N/A,N/A,N/A,N/A,2.734052943,615.1390911,0.213465228,5.38981295,0.002464227,7.00731E-05,0.001406875,0.030652437,127.1102
2016,4.768579235,1033.1,355.7531573,1.9175,42.861,0.000460008,0.015708333,1.9175,0.017717386,N/A,N/A,N/A,N/A,4.317802916,849.8368164,0.230069455,5.272028964,0.001481441,4.39923E-05,0.00152224,0.012277447,N/A
2017,N/A,747.8,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3.863636387,646.9613626,N/A,N/A,N/A,N/A,N/A,N/A,N/A
