Water Year,CSMeanTempC,CSPrecipitationmm,Runoffmm,StrCamgL,StrTOCTCICmgL,StrNH4NmgL,StrNO3NO2NmgL,StrTPmgL,StrSO4SmgL,depNH4Nkgha,depNO3Nkgha,depTotNkgha,depSO4Skgha,NAMGridTempC,NAMGridPrecipitationmm,FWACamgL,FWATOCTCICmgL,FWANH4NmgL,FWANO3NO2NmgL,FWATPmgL,FWASO4SmgL,iNDVI
1991,4.638356164,659.7,43.3278,3.344444444,N/A,0.048333333,0.082222222,0.032777778,2.4605,0.16945984,0.158178133,0.327637973,0.23680529,4.451666752,656.72999,0.227807531,N/A,0.002499485,0.002785751,0.000459168,0.27743519,116.8886
1992,2.979508197,803.1,103.7093,3.014285714,49.95263158,0.093809524,0.3075,0.051047619,2.6307,0.202134293,0.17341993,0.375554223,0.255826581,3.575416605,597.1699991,0.218447417,3.674282239,0.003906204,0.000928582,0.003746096,0.004696828,109.00685
1993,1.728767123,810.5,116.8853,2.375,46.8,0.03875,N/A,0.03328125,N/A,0.172916412,0.164896129,0.337812541,0.222534471,2.968333224,701.5500031,0.113085983,2.223035201,0.001207424,N/A,0.000984761,N/A,107.5761
1994,1.923287671,850.9,129.4357,2.1,43.94,0.035,N/A,0.02425,N/A,0.272445156,0.218853697,0.491298853,0.227263999,3.210416754,710.8999977,0.058351309,1.235521677,0.001557011,N/A,0.001374979,N/A,118.60135
1995,3.153424658,863,130.3776,2.411764706,41.91764706,0.023529412,0.02,0.019264706,0.481569231,0.19970934,0.173041756,0.372751096,0.201175227,4.513750054,728.3400011,0.13135543,2.386184521,0.00073182,0.00101305,0.000930843,0.046062079,110.46865
1996,1.616120219,793.1,134.5758,2.611764706,40.03529412,0.068823529,0.087647059,0.029411765,0.3996,0.141373185,0.172703662,0.314076847,0.176454176,1.938749999,707.849987,0.103553565,1.523695674,0.002410377,0.002806175,0.001089574,0.032367765,109.5049
1997,2.91369863,857.1,131.7022,2.45625,41.70625,0.088125,0.03,0.02875,0.43498125,0.138815632,0.171394611,0.310210243,0.16151509,2.965833326,675.2199945,0.193093932,2.568865897,0.005364072,0.00097124,0.001803186,0.050800549,120.6326
1998,6.116438356,736.8,64.7827,2.766666667,45.40666667,0.116,0.036,0.026,0.3885,0.234237673,0.171661057,0.40589873,0.223025679,6.213333279,641.4300017,0.138897167,2.428977819,0.003370731,0.000971581,0.000987104,0.040515283,129.94755
1999,4.821917808,1059,183.0051,2.227777778,41.14444444,0.067777778,0.105555556,0.038333333,0.367225,0.280997034,0.230731241,0.511728275,0.262226868,5.021249861,899.2400045,0.129389057,2.46150879,0.002473238,0.001972324,0.001729429,0.015410336,113.7036
2000,5.278688525,652.8,67.5128,2.221428571,39.38571429,0.072142857,0.032857143,0.037857143,0.417201429,0.204558764,0.159937287,0.364496051,0.174763095,5.470000024,610.5099893,0.097658481,1.839680075,0.003068109,0.001374566,0.001639283,0.026056962,120.1343
2001,3.828767123,861.7,174.4729,2.55,44.55833333,0.051666667,0.078333333,0.035833333,0.57165,0.155915309,0.157110102,0.313025411,0.167026316,3.893749853,759.6499939,0.13015235,1.943428044,0.007047913,0.001238882,0.002740208,0.069112188,122.2388
