STCODE,FORMAT,SITECODE,WATERYEAR,MEAN_Q,MAX_Q,MIN_Q,MEAN_Q_AREA,TOTAL_Q_AREA,ESTCODE,ESTDAYS,TOTAL_DAYS,TOTAL_Q_AREA mm
HF004,4,GSLOOK,1950,159,1981,11,6.61,89.68,A,0,365,2277.872
HF004,4,GSLOOK,1951,160,1802,9,6.66,90.36,A,0,365,2295.144
HF004,4,GSLOOK,1952,136,1324,12,5.67,77.14,A,6,366,1959.356
HF004,4,GSLOOK,1953,143,3621,6,5.95,80.72,E,12,365,2050.288
HF004,4,GSLOOK,1954,134,2491,13,5.57,75.59,A,3,365,1919.986
HF004,4,GSLOOK,1955,109,1150,14,4.53,61.53,A,6,365,1562.862
HF004,4,GSLOOK,1956,172,2546,8,7.14,97.12,A,0,366,2466.848
HF004,4,GSLOOK,1957,119,2470,15,4.93,66.91,A,0,365,1699.514
HF004,4,GSLOOK,1958,135,2948,13,5.62,76.27,A,0,365,1937.258
HF004,4,GSLOOK,1959,109,1252,12,4.53,61.47,A,0,365,1561.338
HF004,4,GSLOOK,1960,117,759,11,4.84,65.81,A,0,366,1671.574
HF004,4,GSLOOK,1961,129,2328,10,5.36,72.82,A,0,365,1849.628
HF004,4,GSLOOK,1962,113,1919,10,4.7,63.81,A,8,365,1620.774
HF004,4,GSLOOK,1963,124,1430,10,5.14,69.79,E,70,365,1772.666
HF004,4,GSLOOK,1964,122,1381,10,5.06,68.91,A,8,366,1750.314
HF004,4,GSLOOK,1965,156,6665,8,6.47,87.81,E,10,365,2230.374
HF004,4,GSLOOK,1966,89,1143,7,3.7,50.15,A,0,365,1273.81
HF004,4,GSLOOK,1967,111,1557,6.6,4.59,62.33,E,28,365,1583.182
HF004,4,GSLOOK,1968,100,1959,11,4.17,56.73,A,0,366,1440.942
HF004,4,GSLOOK,1969,147,2162,12,6.11,82.89,A,0,365,2105.406
HF004,4,GSLOOK,1970,115,1922,8.7,4.78,64.85,A,0,365,1647.19
HF004,4,GSLOOK,1971,161,2357,8.7,6.69,90.69,A,0,365,2303.526
HF004,4,GSLOOK,1972,182,4183,11,7.53,102.49,E,11,366,2603.246
HF004,4,GSLOOK,1973,69,823,8,2.87,38.98,A,3,365,990.092
HF004,4,GSLOOK,1974,176,1313,8,7.31,99.19,A,4,365,2519.426
HF004,4,GSLOOK,1975,132,1323,7,5.49,74.51,E,12,365,1892.554
HF004,4,GSLOOK,1976,143,1630,9.8,5.94,80.77,E,16,366,2051.558
HF004,4,GSLOOK,1977,49,293,8.6,2.04,27.73,E,68,365,704.342
HF004,4,GSLOOK,1978,131,3051,11,5.43,73.66,E,12,365,1870.964
HF004,4,GSLOOK,1979,95,1159,9,3.94,53.41,A,0,365,1356.614
HF004,4,GSLOOK,1980,99,1562,7,4.1,55.81,E,92,366,1417.574
HF004,4,GSLOOK,1981,100,2222,5,4.17,56.51,A,0,365,1435.354
HF004,4,GSLOOK,1982,151,1751,8,6.28,85.28,E,51,365,2166.112
HF004,4,GSLOOK,1983,140,1472,11,5.8,78.66,A,2,365,1997.964
HF004,4,GSLOOK,1984,142,2100,9,5.91,80.42,A,0,366,2042.668
HF004,4,GSLOOK,1985,108,1127,7.9,4.49,60.97,E,71,365,1548.638
HF004,4,GSLOOK,1986,115,2700,8.9,4.79,65,E,40,365,1651
HF004,4,GSLOOK,1987,85,970,6,3.54,48.07,E,12,365,1220.978
HF004,4,GSLOOK,1988,92,1090,5,3.81,51.77,E,10,366,1314.958
HF004,4,GSLOOK,1989,115,1680,8.1,4.77,64.75,A,1,365,1644.65
HF004,4,GSLOOK,1990,101,1960,9.3,4.18,56.76,A,0,365,1441.704
HF004,4,GSLOOK,1991,102,1010,9.5,4.24,57.46,E,121,365,1459.484
HF004,4,GSLOOK,1992,71,1110,6.5,2.95,40.11,A,0,366,1018.794
HF004,4,GSLOOK,1993,134,1220,6.3,5.57,75.55,A,0,365,1918.97
HF004,4,GSLOOK,1994,69,827,7.3,2.87,38.88,A,0,365,987.552
HF004,4,GSLOOK,1995,125,1770,8,5.2,70.56,A,8,365,1792.224
HF004,4,GSLOOK,1996,193,8000,9.2,8.01,108.94,A,2,366,2767.076
HF004,4,GSLOOK,1997,207,2980,9.2,8.59,116.59,A,0,365,2961.386
HF004,4,GSLOOK,1998,120,1470,7.4,4.98,67.6,E,36,365,1717.04
HF004,4,GSLOOK,1999,158,3380,7.8,6.58,89.22,A,5,365,2266.188
HF004,4,GSLOOK,2000,122,3180,9.4,5.07,69.04,E,13,366,1753.616
HF004,4,GSLOOK,2001,53,377,7,2.21,30.04,A,0,365,763.016
HF004,4,GSLOOK,2002,121,1830,7,5.03,68.28,A,0,365,1734.312
HF004,4,GSLOOK,2003,105,1420,8,4.34,58.9,A,5,365,1496.06
HF004,4,GSLOOK,2004,113,2040,8.2,4.67,63.54,E,33,366,1613.916
HF004,4,GSLOOK,2005,76,1250,11,3.13,42.54,A,0,365,1080.516
HF004,4,GSLOOK,2006,131,3060,7.8,5.43,73.73,A,2,365,1872.742
HF004,4,GSLOOK,2007,111,2240,7.1,4.61,62.59,A,2,365,1589.786
HF004,4,GSLOOK,2008,145,1130,12,6,81.61,A,0,366,2072.894
HF004,4,GSLOOK,2009,118,2800,8.5,4.89,66.35,A,0,365,1685.29
HF004,4,GSLOOK,2010,100,925,9.1,4.15,56.37,A,5,365,1431.798
HF004,4,GSLOOK,2011,150,4600,11,6.24,84.7,A,0,365,2151.38
HF004,4,GSLOOK,2012,147,2430,11,6.12,83.26,A,4,366,2114.804
HF004,4,GSLOOK,2013,114,2530,9.5,4.74,64.29,A,0,365,1632.966
HF004,4,GSLOOK,2014,123.1,2360,8.5,5.108,69.294,A,3,365,1760.0676
HF004,4,GSLOOK,2015,79.1,2370,6.1,3.282,44.53,A,0,365,1131.062
HF004,4,GSLOOK,2016,108.2,1270,6.4,4.49,61.09,A,0,366,1551.686
HF004,4,GSLOOK,2017,144.1,1490,7.9,5.98,81.12,E,8,365,2060.448
HF004,4,GSLOOK,2018,102.348,1550,7.35,4.247,57.633,E,40,365,1463.8782
HF004,4,GSWS01,1953,1.638,40.139,0.029,4.423,60.036,E,23,365,1524.9144
HF004,4,GSWS01,1954,1.541,40.639,0.037,4.161,56.483,A,0,365,1434.6682
HF004,4,GSWS01,1955,1.213,39.203,0.033,3.276,44.474,E,33,365,1129.6396
HF004,4,GSWS01,1956,2.133,36.129,0.037,5.761,78.408,E,49,366,1991.5632
HF004,4,GSWS01,1957,1.276,55.786,0.033,3.445,46.761,E,14,365,1187.7294
HF004,4,GSWS01,1958,1.52,55.037,0.03,4.105,55.714,A,8,365,1415.1356
HF004,4,GSWS01,1959,1.196,31.081,0.033,3.231,43.863,A,5,365,1114.1202
HF004,4,GSWS01,1960,1.275,13.544,0.037,3.444,46.892,A,7,366,1191.0568
HF004,4,GSWS01,1961,1.526,41.846,0.037,4.122,55.944,A,0,365,1420.9776
HF004,4,GSWS01,1962,1.353,42.629,0.037,3.654,49.598,E,11,365,1259.7892
HF004,4,GSWS01,1963,1.23,23.645,0.079,3.322,45.088,E,16,365,1145.2352
HF004,4,GSWS01,1964,1.609,38.91,0.084,4.344,59.126,A,1,366,1501.8004
HF004,4,GSWS01,1965,2.051,61.168,0.079,5.538,75.165,A,0,365,1909.191
HF004,4,GSWS01,1966,1.357,40.3,0.052,3.663,49.719,E,10,365,1262.8626
HF004,4,GSWS01,1967,1.503,26.974,0.03,4.06,55.107,A,0,365,1399.7178
HF004,4,GSWS01,1968,1.327,28.56,0.079,3.584,48.784,A,0,366,1239.1136
HF004,4,GSWS01,1969,1.94,43.222,0.061,5.238,71.104,A,0,365,1806.0416
HF004,4,GSWS01,1970,1.503,28.56,0.01,4.06,55.101,A,0,365,1399.5654
HF004,4,GSWS01,1971,1.923,47.831,0.027,5.194,70.499,A,0,365,1790.6746
HF004,4,GSWS01,1972,2.353,56.162,0.018,6.353,86.478,E,14,366,2196.5412
HF004,4,GSWS01,1973,0.941,20.811,0.006,2.542,34.51,E,10,365,876.554
HF004,4,GSWS01,1974,2.416,33.884,0.015,6.524,88.562,A,2,365,2249.4748
HF004,4,GSWS01,1975,1.687,37.359,0.015,4.555,61.836,A,8,365,1570.6344
HF004,4,GSWS01,1976,1.802,52.239,0.015,4.865,66.228,E,57,366,1682.1912
HF004,4,GSWS01,1977,0.548,7.747,0.005,1.48,20.098,E,33,365,510.4892
HF004,4,GSWS01,1978,1.589,38.223,0.018,4.292,58.263,A,6,365,1479.8802
HF004,4,GSWS01,1979,1.299,38.41,0.008,3.509,47.625,E,10,365,1209.675
HF004,4,GSWS01,1980,1.246,37.852,0.015,3.365,45.81,A,5,366,1163.574
HF004,4,GSWS01,1981,1.281,32.553,0,3.459,46.957,A,0,365,1192.7078
HF004,4,GSWS01,1982,1.908,40.364,0,5.153,69.945,A,0,365,1776.603
HF004,4,GSWS01,1983,1.685,26.198,0.037,4.551,61.771,A,4,365,1568.9834
HF004,4,GSWS01,1984,1.872,43.752,0.03,5.057,68.836,A,0,366,1748.4344
HF004,4,GSWS01,1985,1.302,18.76,0.006,3.517,47.731,A,0,365,1212.3674
HF004,4,GSWS01,1986,1.491,50.011,0.013,4.027,54.672,E,19,365,1388.6688
HF004,4,GSWS01,1987,1.078,25.333,0.003,2.912,39.525,A,6,365,1003.935
HF004,4,GSWS01,1988,1.146,30.635,0.003,3.094,42.114,E,16,366,1069.6956
HF004,4,GSWS01,1989,1.513,56.918,0.015,4.087,55.478,A,9,365,1409.1412
HF004,4,GSWS01,1990,1.174,39.539,0.021,3.171,43.035,A,6,365,1093.089
HF004,4,GSWS01,1991,1.247,18.891,0.008,3.368,45.716,E,16,365,1161.1864
HF004,4,GSWS01,1992,0.914,21.642,0.001,2.468,33.597,A,0,366,853.3638
HF004,4,GSWS01,1993,1.658,20.948,0.021,4.477,60.765,A,0,365,1543.431
HF004,4,GSWS01,1994,0.727,21.086,0.003,1.963,26.639,A,4,365,676.6306
HF004,4,GSWS01,1995,1.45,41.456,0.01,3.916,53.149,A,4,365,1349.9846
HF004,4,GSWS01,1996,2.191,84.268,0.021,5.918,80.559,A,0,366,2046.1986
HF004,4,GSWS01,1997,2.179,49.869,0.015,5.885,79.879,A,3,365,2028.9266
HF004,4,GSWS01,1998,1.272,25.131,0.018,3.435,46.615,E,12,365,1184.021
HF004,4,GSWS01,1999,1.652,45.34,0.007,4.46,60.543,E,72,365,1537.7922
HF004,4,GSWS01,2000,1.32,37.276,0.011,3.565,48.522,A,1,366,1232.4588
HF004,4,GSWS01,2001,0.434,7.328,0.007,1.171,15.894,A,5,365,403.7076
HF004,4,GSWS01,2002,1.207,34.753,0.001,3.258,44.229,A,1,365,1123.4166
HF004,4,GSWS01,2003,1.036,27.637,0.001,2.799,37.993,A,1,365,965.0222
HF004,4,GSWS01,2004,1.109,28.338,0.01,2.994,40.755,A,2,366,1035.177
HF004,4,GSWS01,2005,0.679,16.776,0.01,1.834,24.898,A,1,365,632.4092
HF004,4,GSWS01,2006,1.288,44.408,0.007,3.478,47.214,A,1,365,1199.2356
HF004,4,GSWS01,2007,1.072,24.301,0.008,2.895,39.302,A,0,365,998.2708
HF004,4,GSWS01,2008,1.302,21.787,0.01,3.515,47.84,A,0,366,1215.136
HF004,4,GSWS01,2009,1.1,40.824,0.012,2.971,40.327,A,0,365,1024.3058
HF004,4,GSWS01,2010,0.925,19.44,0.021,2.498,33.905,A,0,365,861.187
HF004,4,GSWS01,2011,1.393,36.267,0.016,3.762,51.07,A,1,365,1297.178
HF004,4,GSWS01,2012,1.286,39.937,0.014,3.474,47.281,A,6,366,1200.9374
HF004,4,GSWS01,2013,1.035,25.54,0.018,2.796,37.953,A,1,365,964.0062
HF004,4,GSWS01,2014,1.111,36.531,0.013,3,40.726,A,0,365,1034.4404
HF004,4,GSWS01,2015,0.807,39.606,0.005,2.18,29.598,A,2,365,751.7892
HF004,4,GSWS01,2016,1.027,33.726,0.007,2.774,37.753,A,1,366,958.9262
HF004,4,GSWS01,2017,1.426,29.237,0.01,3.851,52.268,A,0,365,1327.6072
HF004,4,GSWS01,2018,0.943,19.995,0.007,2.546,34.555,A,0,365,877.697
HF004,4,GSWS01,2019,0.876,25.854,0.009,2.364,32.093,A,0,365,815.1622
HF004,4,GSWS02,1953,1.025,26.951,0.022,4.403,59.759,E,41,365,1517.8786
HF004,4,GSWS02,1954,1.056,18.609,0.04,4.534,61.544,E,10,365,1563.2176
HF004,4,GSWS02,1955,0.791,13.571,0.015,3.396,46.091,A,0,365,1170.7114
HF004,4,GSWS02,1956,1.476,19.88,0.02,6.339,86.287,E,22,366,2191.6898
HF004,4,GSWS02,1957,0.948,24.297,0.018,4.071,55.252,A,0,365,1403.4008
HF004,4,GSWS02,1958,1.112,27.374,0.024,4.778,64.858,E,26,365,1647.3932
HF004,4,GSWS02,1959,0.882,13.873,0.005,3.79,51.45,A,2,365,1306.83
HF004,4,GSWS02,1960,0.922,6.975,0.048,3.958,53.88,A,0,366,1368.552
HF004,4,GSWS02,1961,1.115,21.822,0.027,4.787,64.981,A,8,365,1650.5174
HF004,4,GSWS02,1962,0.907,20.902,0.022,3.894,52.86,E,13,365,1342.644
HF004,4,GSWS02,1963,0.777,10.228,0.022,3.337,45.299,A,2,365,1150.5946
HF004,4,GSWS02,1964,0.891,7.819,0.018,3.826,52.081,A,0,366,1322.8574
HF004,4,GSWS02,1965,1.061,35.027,0.008,4.556,61.849,E,25,365,1570.9646
HF004,4,GSWS02,1966,0.615,10.847,0.002,2.642,35.871,E,30,365,911.1234
HF004,4,GSWS02,1967,0.731,12.716,0.001,3.141,42.639,A,0,365,1083.0306
HF004,4,GSWS02,1968,0.615,12.077,0.022,2.641,35.956,A,0,366,913.2824
HF004,4,GSWS02,1969,1.101,19.24,0.057,4.729,64.195,A,0,365,1630.553
HF004,4,GSWS02,1970,0.827,14.94,0.02,3.553,48.234,A,0,365,1225.1436
HF004,4,GSWS02,1971,1.066,19.399,0.013,4.579,62.158,A,0,365,1578.8132
HF004,4,GSWS02,1972,1.358,26.904,0.018,5.831,79.375,E,50,366,2016.125
HF004,4,GSWS02,1973,0.492,6.721,0.012,2.113,28.676,A,0,365,728.3704
HF004,4,GSWS02,1974,1.438,9.797,0.027,6.178,83.856,A,0,365,2129.9424
HF004,4,GSWS02,1975,1.021,14.8,0.02,4.385,59.515,A,0,365,1511.681
HF004,4,GSWS02,1976,1.088,25.288,0.02,4.675,63.632,E,15,366,1616.2528
HF004,4,GSWS02,1977,0.25,3.297,0.013,1.073,14.561,E,14,365,369.8494
HF004,4,GSWS02,1978,0.96,19.399,0.045,4.123,55.979,A,0,365,1421.8666
HF004,4,GSWS02,1979,0.779,12.813,0.027,3.345,45.411,E,14,365,1153.4394
HF004,4,GSWS02,1980,0.722,16.412,0.024,3.101,42.21,E,28,366,1072.134
HF004,4,GSWS02,1981,0.743,16.485,0.037,3.191,43.316,E,13,365,1100.2264
HF004,4,GSWS02,1982,1.2,19.84,0.01,5.156,69.989,A,6,365,1777.7206
HF004,4,GSWS02,1983,0.968,11.179,0.018,4.159,56.462,A,0,365,1434.1348
HF004,4,GSWS02,1984,1.064,21.36,0.02,4.571,62.225,A,0,366,1580.515
HF004,4,GSWS02,1985,0.765,6.663,0.027,3.287,44.618,A,5,365,1133.2972
HF004,4,GSWS02,1986,0.839,25.106,0.012,3.603,48.905,A,0,365,1242.187
HF004,4,GSWS02,1987,0.599,9.402,0.005,2.571,34.908,A,0,365,886.6632
HF004,4,GSWS02,1988,0.632,12.077,0,2.715,36.947,E,29,366,938.4538
HF004,4,GSWS02,1989,0.916,21.907,0.004,3.935,53.408,A,0,365,1356.5632
HF004,4,GSWS02,1990,0.662,13.074,0.004,2.843,38.594,A,0,365,980.2876
HF004,4,GSWS02,1991,0.653,6.644,0.012,2.805,38.066,A,9,365,966.8764
HF004,4,GSWS02,1992,0.515,8.961,0.008,2.21,30.088,A,0,366,764.2352
