STCODE,ENTITY,SITECODE,WATERYEAR,Q_AREA_YR,QCODE_YR,PH_YR,PHCODE_YR,COND_YR,CONDCODE_YR,ALK_YR,ALKCODE_YR,SSED_YR,SSEDCODE_YR,SI_YR,SICODE_YR,UTP_YR,UTPCODE_YR,TDP_YR,TDPCODE_YR,PARTP_YR,PARTPCODE_YR,PO4P_YR,PO4PCODE_YR,UTN_YR,UTNCODE_YR,TDN_YR,TDNCODE_YR,DON_YR,DONCODE_YR,PARTN_YR,PARTNCODE_YR,UTKN_YR,UTKNCODE_YR,TKN_YR,TKNCODE_YR,NH3N_YR,NH3NCODE_YR,NO3N_YR,NO3NCODE_YR,NA_YR,NACODE_YR,K_YR,KCODE_YR,CA_YR,CACODE_YR,MG_YR,MGCODE_YR,SO4S_YR,SO4SCODE_YR,CL_YR,CLCODE_YR,DOC_YR,DOCCODE_YR
CF002,3,"GSWS09",1986,130.70,A,7.4,A,42.2,A,19.04,A,10.68,A,8.65,A,0.054,A,0.036,A,0.018,D,,N,0.11,D,0.04,D,0.03,D,0.06,D,0.10,A,0.04,A,0.004,A,0.010,A,2.37,A,0.16,A,4.09,E,1.22,A,,N,,N,,N
CF002,3,"GSWS09",1987,97.24,E,7.4,I,44.2,I,19.79,I,1.92,I,8.71,I,0.053,IQ,0.048,IQ,0.006,IDQ,,N,0.07,ID,0.05,ID,0.04,ID,0.02,ID,0.06,I,0.04,I,0.004,I,0.009,I,2.59,I,0.16,I,4.40,IE,1.29,I,,N,,N,,N
CF002,3,"GSWS09",1988,96.38,E,7.3,I,43.0,I,18.46,I,2.25,I,8.50,I,0.042,I,0.035,I,0.007,ID,0.017,I,0.09,ID,0.06,ID,0.04,ID,0.03,ID,0.08,I,0.05,I,0.012,I,0.006,I,2.42,I,0.11,I,4.28,IE,1.24,I,0.42,I,1.55,I,,N
CF002,3,"GSWS09",1989,140.81,A,7.5,I,41.2,I,18.42,I,5.57,I,8.56,I,0.041,I,0.034,I,0.008,ID,0.020,I,0.07,ID,0.05,ID,0.04,ID,0.03,ID,0.07,I,0.05,I,0.011,I,0.001,I,2.35,I,0.15,I,4.05,I,1.17,I,0.38,I,1.38,I,,N
CF002,3,"GSWS09",1990,100.67,E,7.5,A,44.7,A,20.33,A,9.48,A,8.73,A,0.040,A,0.027,A,0.013,D,0.016,A,0.12,ID,0.06,ID,0.04,ID,0.06,ID,0.12,I,0.06,I,0.014,A,0.002,A,2.36,A,0.16,A,4.28,A,1.25,A,0.25,A,1.43,A,,N
CF002,3,"GSWS09",1991,106.66,E,7.5,A,45.7,A,20.75,A,1.28,A,8.94,A,0.034,I,0.029,A,0.004,ID,0.018,A,0.06,ID*,0.05,ID*,0.04,ID,0.01,ID,0.06,I,0.05,I,0.011,*,0.002,*,2.39,A,0.14,A,4.39,A,1.27,A,0.18,I,1.50,I,,N
CF002,3,"GSWS09",1992,85.43,A,7.5,A,46.7,A,21.54,A,1.35,A,8.79,A,0.033,A,0.030,A,0.003,D,0.019,A,0.05,D*,0.05,D*,0.04,ID,0.01,D,0.05,A,0.05,A,0.007,I*,0.001,*,2.43,A,0.15,A,4.37,A,3.26,A,0.19,A,1.38,A,,N
CF002,3,"GSWS09",1993,153.89,E,7.5,A,43.5,A,20.58,A,0.85,A,8.72,A,0.032,A,0.031,A,0.002,D,0.018,A,0.05,D*,0.04,D*,0.03,D,0.01,D,0.05,A,0.04,A,0.006,*,0.001,*,2.34,A,0.15,A,4.46,A,1.23,A,0.18,A,1.34,A,,N
CF002,3,"GSWS09",1994,69.58,E,7.5,A,47.1,A,21.75,A,1.20,A,8.74,A,0.031,A,0.028,A,0.003,D,0.017,A,0.06,D*,0.04,D*,0.04,D,0.01,D,0.06,A,0.04,A,0.004,*,0.001,*,2.47,A,0.15,A,4.74,A,1.34,A,0.22,A,1.50,A,,N
CF002,3,"GSWS09",1995,137.24,E,7.6,Q,43.6,Q,20.25,Q,3.15,A,8.62,A,0.035,A,0.031,A,0.005,D,0.018,A,0.06,D*,0.04,D*,0.04,ID,0.02,D,0.06,A,0.04,A,0.006,I*,0.001,*,2.33,A,0.14,A,4.36,A,1.22,A,0.18,A,1.44,A,,N
CF002,3,"GSWS09",1996,187.68,E,7.5,A,40.5,A,19.29,A,162.96,A,8.53,A,0.060,A,0.028,A,0.031,D,0.017,A,0.19,ID,0.05,D,0.04,D,0.14,ID,0.19,I,0.05,A,0.013,*,0.004,*,2.31,A,0.18,A,4.08,A,1.13,A,0.20,A,1.26,A,,N
CF002,3,"GSWS09",1997,187.96,E,7.5,A,39.1,A,18.25,A,5.45,A,8.30,A,0.035,A,0.028,A,0.007,D,0.016,A,0.06,D,0.03,D,0.03,D,0.02,D,0.06,A,0.03,A,0.007,*,0.001,*,2.20,A,0.18,A,3.88,A,1.10,A,0.13,A,1.23,A,,N
CF002,3,"GSWS09",1998,94.66,E,7.5,A,43.2,A,18.87,A,2.63,A,8.47,A,0.027,A,0.025,A,0.003,D,0.015,A,0.05,D*,0.04,D*,0.03,D,0.01,D,0.05,A,0.04,A,0.015,*,0.001,*,2.44,A,0.16,A,4.30,A,1.21,A,0.16,I,1.89,I,,N
CF002,3,"GSWS09",1999,155.22,A,7.4,A,37.5,A,17.79,A,12.17,A,8.39,A,0.032,A,0.025,A,0.007,D,0.017,A,0.06,D*,0.04,D*,0.03,D,0.02,D,0.06,A,0.04,A,0.006,*,0.001,*,2.15,A,0.16,A,3.92,A,1.08,A,0.14,I,1.15,I,,N
