STCODE,ENTITY,SITECODE,WATERYEAR,Q_AREA_YR,QCODE_YR,PH_YR,PHCODE_YR,COND_YR,CONDCODE_YR,ALK_YR,ALKCODE_YR,SSED_YR,SSEDCODE_YR,SI_YR,SICODE_YR,UTP_YR,UTPCODE_YR,TDP_YR,TDPCODE_YR,PARTP_YR,PARTPCODE_YR,PO4P_YR,PO4PCODE_YR,UTN_YR,UTNCODE_YR,TDN_YR,TDNCODE_YR,DON_YR,DONCODE_YR,PARTN_YR,PARTNCODE_YR,UTKN_YR,UTKNCODE_YR,TKN_YR,TKNCODE_YR,NH3N_YR,NH3NCODE_YR,NO3N_YR,NO3NCODE_YR,NA_YR,NACODE_YR,K_YR,KCODE_YR,CA_YR,CACODE_YR,MG_YR,MGCODE_YR,SO4S_YR,SO4SCODE_YR,CL_YR,CLCODE_YR,DOC_YR,DOCCODE_YR
CF002,3,"GSWS10",1983,192.60,A,7.3,A,32.7,A,15.42,A,4.53,A,6.52,Q,0.067,A,0.058,A,0.009,D,,N,0.07,D,0.05,D,0.03,D,0.02,D,0.07,A,0.04,A,0.013,A,0.005,A,1.96,A,0.24,A,3.15,E,0.84,A,,N,,N,,N
CF002,3,"GSWS10",1984,203.29,A,7.2,A,29.8,A,16.17,A,5.43,A,9.42,A,0.061,A,0.052,A,0.008,D,,N,0.06,DE,0.03,DE,0.03,D,0.03,D,0.06,A,0.03,A,0.006,A,0.004,E,2.11,A,0.23,A,3.09,E,0.79,A,0.31,I,1.07,I,,N
CF002,3,"GSWS10",1985,140.01,A,7.6,I,35.2,I,16.87,I,5.46,I,9.29,I,0.066,I,0.061,I,0.007,ID,,N,0.07,ID,0.04,ID,0.02,ID,0.03,ID,0.07,I,0.04,I,0.021,I,0.003,I,2.10,I,0.19,I,3.01,IE,0.83,I,,N,,N,,N
CF002,3,"GSWS10",1986,162.92,E,7.4,A,35.6,A,16.46,A,3.65,A,9.45,A,0.068,A,0.058,A,0.011,D,,N,0.05,D,0.02,D,0.01,D,0.02,D,0.04,A,0.02,A,0.008,A,0.003,A,2.20,A,0.23,A,3.51,E,0.89,A,,N,,N,,N
CF002,3,"GSWS10",1987,117.76,E,7.4,A,35.8,A,16.71,A,19.59,A,8.89,A,0.070,A,0.060,A,0.010,D,,N,0.06,D,0.04,D,0.03,D,0.02,D,0.06,A,0.04,A,0.005,A,0.004,A,2.27,A,0.22,A,3.58,E,0.93,A,,N,,N,,N
CF002,3,"GSWS10",1988,115.92,A,7.4,A,35.4,A,16.08,A,14.16,A,8.86,A,0.065,A,0.052,A,0.013,D,0.025,I,0.06,D,0.04,D,0.02,D,0.03,D,0.06,A,0.03,A,0.013,A,0.004,A,2.14,A,0.17,A,3.55,E,0.89,A,,N,,N,,N
CF002,3,"GSWS10",1989,149.09,E,7.4,A,32.5,A,15.42,A,21.03,A,8.84,A,0.062,A,0.053,A,0.010,D,0.038,A,0.08,D,0.04,D,0.03,D,0.04,D,0.07,A,0.04,A,0.012,A,0.007,A,2.04,A,0.20,A,3.20,A,0.83,A,0.30,I,0.99,I,,N
CF002,3,"GSWS10",1990,120.76,A,7.4,I,35.3,I,16.79,I,8.81,A,8.85,A,0.059,A,0.047,A,0.013,D,0.034,A,0.07,D,0.04,D,0.02,D,0.03,D,0.07,A,0.04,A,0.013,A,0.003,A,2.06,A,0.21,A,3.39,A,0.87,A,0.27,A,1.01,I,,N
CF002,3,"GSWS10",1991,118.51,A,7.4,A,35.9,A,17.08,A,4.76,A,9.02,A,0.054,A,0.046,A,0.007,D,0.034,A,0.05,D*,0.03,D*,0.02,D,0.01,D,0.05,A,0.03,A,0.009,*,0.002,*,2.08,A,0.18,A,3.48,A,0.89,A,0.13,I,1.09,I,,N
CF002,3,"GSWS10",1992,91.54,A,7.4,A,37.5,A,17.87,A,2.84,A,8.73,A,0.049,A,0.043,A,0.006,D,0.032,A,0.05,D*,0.03,D*,0.02,ID,0.02,D,0.05,A,0.03,A,0.009,I*,0.001,*,2.15,A,0.19,A,3.54,A,2.88,A,0.13,A,1.18,A,,N
CF002,3,"GSWS10",1993,171.19,E,7.4,A,34.4,A,16.79,A,2.40,A,8.69,A,0.050,A,0.046,A,0.004,D,0.033,A,0.04,D*,0.03,D*,0.03,D,0.01,D,0.04,A,0.03,A,0.006,*,0.001,*,1.99,A,0.19,A,3.52,A,0.84,A,0.13,A,0.93,A,,N
CF002,3,"GSWS10",1994,76.69,A,7.5,A,37.4,A,17.83,A,2.11,A,8.59,A,0.045,A,0.041,A,0.004,D,0.030,A,0.04,D*,0.03,D*,0.03,D,0.01,D,0.04,A,0.03,A,0.005,*,0.001,*,2.16,A,0.20,A,3.79,A,0.94,A,0.15,A,1.03,A,,N
CF002,3,"GSWS10",1995,159.42,A,7.5,Q,36.3,Q,17.46,Q,2.46,A,8.77,A,0.049,A,0.045,A,0.004,D,0.032,A,0.04,D,0.03,D,0.03,D,0.01,D,0.04,A,0.03,A,0.006,*,0.001,*,2.08,A,0.18,A,3.63,A,0.89,A,0.10,A,1.02,A,,N
CF002,3,"GSWS10",1996,234.97,E,7.5,A,35.5,A,17.71,A,50.44,A,8.83,A,0.075,A,0.046,A,0.029,D,0.034,A,0.11,D,0.04,D,0.02,D,0.07,D,0.11,*,0.03,A,0.016,*,0.003,*,2.11,A,0.21,A,3.62,A,0.88,A,0.16,A,0.80,A,,N
CF002,3,"GSWS10",1997,236.50,E,7.5,A,32.3,A,16.29,A,9.17,A,8.45,A,0.053,A,0.046,A,0.006,D,0.033,A,0.04,D,0.03,D,0.01,D,0.02,D,0.04,A,0.02,*,0.008,*,0.002,*,1.97,A,0.21,A,3.35,A,0.85,A,0.10,A,0.72,A,,N
CF002,3,"GSWS10",1998,125.92,E,7.5,A,37.7,A,17.71,A,2.32,A,8.85,A,0.047,A,0.043,A,0.004,D,0.031,A,0.05,D,0.03,D,0.02,D,0.01,D,0.04,*,0.03,A,0.012,*,0.006,*,2.23,A,0.18,A,3.84,A,0.95,A,0.11,I,1.17,I,,N
CF002,3,"GSWS10",1999,201.55,A,7.4,A,32.3,A,15.96,A,24.05,A,8.63,A,0.054,A,0.043,A,0.011,D,0.034,A,0.05,D*,0.02,D*,0.02,D*,0.03,D,0.05,*,0.02,*,0.006,*,0.001,*,1.96,A,0.19,A,3.41,A,0.83,A,0.10,I,0.81,I,,N
CF002,3,"GSWS10",2000,157.27,A,7.4,A,33.3,A,16.50,A,1.78,A,8.60,A,0.045,A,0.041,A,0.004,D,0.033,A,0.03,D,0.03,D,0.02,D,0.01,D,0.03,*,0.03,A,0.010,*,0.003,*,2.03,A,0.20,A,3.49,A,0.81,A,0.11,A,1.07,A,,N
CF002,3,"GSWS10",2001,54.92,E,7.5,A,41.3,A,19.00,A,1.85,A,8.47,A,0.040,A,0.034,A,0.006,D,0.024,A,0.06,DQ,0.04,DQ,0.03,D,0.02,D,0.06,A,0.04,A,0.008,*,0.005,Q,2.42,A,0.19,A,4.34,A,1.08,A,0.13,A,1.83,A,,N
CF002,3,"GSWS10",2002,148.54,E,7.4,I,34.1,I,16.71,I,1.96,A,8.42,I,0.043,A,0.040,A,0.003,D,0.032,I,0.04,ID,0.03,ID,0.03,ID,0.01,ID,0.04,I,0.03,I,0.006,I*,0.001,I*,2.05,I,0.19,I,3.68,I,0.86,I,0.11,I,0.93,I,1.00,I
CF002,3,"GSWS10",2003,128.02,A,7.4,A,36.2,A,17.58,A,1.44,A,8.54,A,0.042,A,0.038,A,0.004,D,0.031,A,0.05,D,0.04,D,0.03,D,0.01,D,0.05,A,0.04,A,0.010,*,0.001,*,2.18,A,0.21,A,3.81,A,1.00,A,0.11,A,1.03,A,1.39,I
CF002,3,"GSWS10",2004,128.93,A,7.4,A,36.1,A,17.37,A,1.37,A,8.56,A,0.044,A,0.042,A,0.003,D,0.033,A,0.05,D,0.05,D,0.04,D*,0.01,D,0.05,A,0.05,A,0.012,*,0.001,*,2.22,A,0.21,A,3.74,A,0.95,A,0.14,A,1.03,A,1.10,I
CF002,3,"GSWS10",2005,87.00,E,7.5,A,41.5,A,19.92,A,2.54,A,8.86,A,0.046,A,0.040,A,0.006,D,0.030,A,0.07,D*,0.05,D*,0.04,D*,0.02,D,0.07,I,0.05,I,0.008,*,0.001,*,2.03,A,0.20,A,4.37,A,0.75,A,0.12,A,1.00,A,1.32,A
CF002,3,"GSWS10",2006,159.44,E,7.4,A,35.3,A,17.29,A,6.23,A,8.56,A,0.050,Q,0.044,A,0.005,DQ,0.033,A,0.05,*,0.04,A,0.02,D*,0.02,D,,N,,N,0.012,*,0.001,*,2.21,A,0.21,A,3.68,A,0.83,A,0.10,A,1.00,A,1.12,A
CF002,3,"GSWS10",2007,137.60,E,7.4,Q,35.5,I,17.00,A,3.50,Q,8.83,Q,0.052,Q,0.048,Q,0.004,DQ,0.033,Q,0.05,Q,0.04,Q,0.03,DQ,0.02,DQ,,N,,N,0.003,Q,0.001,Q,2.21,Q,0.22,Q,3.61,Q,1.05,Q,0.11,A,0.95,I,1.03,Q
CF002,3,"GSWS10",2008,155.66,E,7.5,A,36.4,A,17.17,A,1.75,A,8.70,A,0.051,A,0.048,A,0.003,D,0.035,A,0.06,A,0.05,A,0.03,D*,0.01,D,,N,,N,0.005,I*,0.001,*,2.22,A,0.20,A,3.84,A,0.81,A,0.12,A,1.08,A,0.97,A
CF002,3,"GSWS10",2009,136.75,A,7.5,A,35.9,A,17.42,A,14.40,A,8.16,A,0.058,A,0.048,A,0.010,D,0.032,A,0.06,Q,0.05,A,0.04,D*,0.01,DQ,,N,,N,0.006,*,0.001,*,2.22,A,0.23,A,3.81,A,0.81,A,0.11,A,1.05,A,1.00,A
CF002,3,"GSWS10",2010,117.87,E,7.5,A,38.9,A,18.75,A,2.99,A,8.51,A,0.047,A,0.042,A,0.005,D,0.032,A,0.05,A,0.04,A,0.03,D*,0.01,D,,N,,N,0.006,*,0.000,*,2.19,A,0.21,A,4.09,A,0.68,A,0.12,A,1.14,A,1.07,A
CF002,3,"GSWS10",2011,175.75,E,7.5,A,36.1,A,17.47,A,5.09,A,8.37,A,0.041,A,0.036,A,0.005,D,0.033,A,0.05,A,0.04,A,0.03,D*,0.01,D,,N,,N,0.013,*,0.001,*,2.15,A,0.21,A,3.84,A,0.74,A,0.11,A,0.96,A,0.96,A
CF002,3,"GSWS10",2012,158.04,E,7.4,A,34.7,A,17.05,A,9.92,A,8.31,A,0.039,A,0.033,A,0.006,D,0.031,A,0.04,*,0.02,*,0.02,DQ,0.02,D,,N,,N,0.007,Q,0.002,*,2.10,A,0.21,A,3.72,A,0.92,A,0.11,A,0.92,A,0.97,A
CF002,3,"GSWS10",2013,123.83,E,7.5,A,38.0,A,18.62,A,2.38,A,8.69,A,0.036,A,0.034,A,0.003,D,0.032,A,0.04,A,0.02,*,0.02,D*,0.02,D,,N,,N,0.006,*,0.001,*,2.28,A,0.22,A,4.05,A,1.01,A,0.12,A,0.94,A,0.98,A
CF002,3,"GSWS10",2014,132.45,A,7.5,A,36.8,A,18.13,A,4.81,A,8.62,A,0.042,A,0.036,A,0.006,D,0.033,A,0.04,A,0.02,*,0.02,D*,0.02,D,,N,,N,0.005,*,0.001,*,2.20,A,0.23,A,3.94,A,0.98,A,0.11,A,0.90,A,0.91,A
CF002,3,"GSWS10",2015,91.03,E,7.3,A,39.0,A,18.61,A,9.68,A,8.40,A,0.041,A,0.037,A,0.005,D,0.035,A,0.06,A,0.04,*,0.03,D*,0.02,D,,N,,N,0.010,*,0.001,*,2.28,A,0.21,A,4.16,A,1.03,A,0.12,A,0.97,A,1.13,A
CF002,3,"GSWS10",2016,141.56,E,7.5,A,36.2,A,17.77,A,2.66,A,8.39,A,0.040,A,0.036,A,0.004,D,0.035,A,0.03,*,0.02,*,0.02,D*,0.01,D,,N,,N,0.004,*,0.001,*,2.15,A,0.21,A,3.77,A,0.94,A,0.11,A,0.97,A,1.03,A
CF002,3,"GSWS10",2017,166.03,A,7.5,A,36.9,A,17.81,A,2.84,A,8.36,A,0.041,A,0.037,A,0.004,D,0.038,A,0.03,*,0.02,*,0.02,D*,0.01,D,,N,,N,0.003,*,0.001,*,2.20,A,0.21,A,3.93,A,0.98,A,0.11,A,0.89,A,0.93,A
CF002,3,"GSWS10",2018,112.87,A,7.5,A,39.3,I,18.98,A,1.47,A,8.80,A,0.041,A,0.038,A,0.003,D,0.037,A,0.03,A,0.02,*,0.02,D,0.01,D,,N,,N,0.008,*,0.000,*,2.27,A,0.20,A,4.11,A,1.01,A,0.11,A,0.91,A,0.98,A
